Date,Time,Category,Level,Message
28-04-2026,13:39:06:356 / GMT+05:00,App,Info,<ServicesManager:98:recordAppLaunch()> New session. Session id: REDACTED_HEX
28-04-2026,13:39:06:356 / GMT+05:00,App,Info,<ServicesManager:99:recordAppLaunch()> Current launch number: 1
28-04-2026,13:39:06:356 / GMT+05:00,App,Info,<ServicesManager:100:recordAppLaunch()> Phone model: iPhone SE 2¸ OS version: iOS 26.3.1¸ App version: 5.38 (39)
28-04-2026,13:39:06:357 / GMT+05:00,App,Info,<ServicesManager:101:recordAppLaunch()> RTCStatus(hasRoot: false¸ hasCustomFirmware: false)
28-04-2026,13:39:06:438 / GMT+05:00,TangemSDK,Debug,🪲 Clear AccessCodeRepository
28-04-2026,13:39:06:534 / GMT+05:00,App,Info,<CommonAPIListProvider: 0x0000000119d17f90> Attempting to load API list from server
28-04-2026,13:39:06:545 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /networks/providers; Method: GET; Headers: device¸version¸platform¸api-key¸language¸timezone¸system_version
28-04-2026,13:39:06:548 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /geo; Method: GET; Headers: timezone¸device¸version¸system_version¸platform¸api-key¸language
28-04-2026,13:39:06:550 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /user-wallets/applications; Method: POST; Headers: version¸timezone¸platform¸device¸language¸Content-Type¸system_version¸api-key
28-04-2026,13:39:06:554 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /stories/first-time-swap; Method: GET; Headers: timezone¸device¸version¸system_version¸platform¸api-key¸language
28-04-2026,13:39:06:606 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /features; Method: GET; Headers: platform¸language¸version¸api-key¸system_version¸timezone¸device
28-04-2026,13:39:06:825 / GMT+05:00,App,Warning,<UserWalletDataStorage:64:fetchPublicData()> Detected empty saved user wallets
28-04-2026,13:39:06:836 / GMT+05:00,App,Info,<CommonUserWalletRepository:84:initialize()> Tangem.CommonUserWalletRepository
28-04-2026,13:39:06:854 / GMT+05:00,TangemSDK,Debug,🪲 BackupService deinit
28-04-2026,13:39:06:854 / GMT+05:00,TangemSDK,Debug,🪲 TangemSdk deinit
28-04-2026,13:39:06:854 / GMT+05:00,TangemSDK,Debug,🪲 BaseViewDelegate deinit
28-04-2026,13:39:06:854 / GMT+05:00,TangemSDK,Debug,🪲 Reader deinit
28-04-2026,13:39:06:854 / GMT+05:00,TangemSDK,Debug,🪲 NetworkService deinit
28-04-2026,13:39:06:940 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /hot_crypto; Method: GET; Headers: api-key¸platform¸version¸device¸language¸timezone¸system_version
28-04-2026,13:39:07:191 / GMT+05:00,App,Info,<WebView:43:makeUIView(context:)> Loading request with url: https://tangem.com/tangem_tos.html
28-04-2026,13:39:07:232 / GMT+05:00,Analytics,Info,Analytics event: [Introduction Process] Introduction Process Screen Opened. Params: {}
28-04-2026,13:39:07:332 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /networks/providers
28-04-2026,13:39:07:355 / GMT+05:00,App,Info,<CommonAPIListProvider: 0x0000000119d17f90> Remote API list loading and parsing time: 0.8233489990234375 seconds
28-04-2026,13:39:07:437 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /geo; Body: {"code":"kz"}
28-04-2026,13:39:07:453 / GMT+05:00,Network,Info,Response ✅ 201: api.tangem.org; Info: /user-wallets/applications
28-04-2026,13:39:07:453 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /features; Body: {"send":true}
28-04-2026,13:39:07:456 / GMT+05:00,App,Info,<CommonUserTokensPushNotificationsService:215:createApplication(fcmToken:)> Application has been created for uid: REDACTED_HEX
28-04-2026,13:39:07:459 / GMT+05:00,Network,Info,Request ➡️: api.tangem.org; Info: /user-wallets/wallets/by-app/REDACTED_HEX; Method: GET; Headers: device¸timezone¸system_version¸language¸platform¸api-key¸version
28-04-2026,13:39:07:475 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /hot_crypto
28-04-2026,13:39:07:613 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /user-wallets/wallets/by-app/REDACTED_HEX
28-04-2026,13:39:07:721 / GMT+05:00,App,Info,<WebView:94:webView(_:decidePolicyFor:preferences:decisionHandler:)> Start to find decide for url https://tangem.com/tangem_tos.html
28-04-2026,13:39:07:969 / GMT+05:00,Network,Info,Response ✅ 200: api.tangem.org; Info: /stories/first-time-swap
28-04-2026,13:39:07:977 / GMT+05:00,Network,Info,Request ➡️: s3.eu-central-1.amazonaws.com; Info: ; Method: GET; Headers: device¸language¸version¸system_version¸timezone¸api-key¸platform
28-04-2026,13:39:07:978 / GMT+05:00,Network,Info,Request ➡️: s3.eu-central-1.amazonaws.com; Info: ; Method: GET; Headers: platform¸language¸device¸version¸system_version¸api-key¸timezone
28-04-2026,13:39:07:978 / GMT+05:00,Network,Info,Request ➡️: s3.eu-central-1.amazonaws.com; Info: ; Method: GET; Headers: device¸language¸version¸system_version¸timezone¸api-key¸platform
28-04-2026,13:39:07:980 / GMT+05:00,Network,Info,Request ➡️: s3.eu-central-1.amazonaws.com; Info: ; Method: GET; Headers: platform¸language¸device¸version¸system_version¸api-key¸timezone
28-04-2026,13:39:07:981 / GMT+05:00,Network,Info,Request ➡️: s3.eu-central-1.amazonaws.com; Info: ; Method: GET; Headers: device¸language¸version¸system_version¸timezone¸api-key¸platform
28-04-2026,13:39:08:612 / GMT+05:00,Network,Info,Response ✅ 200: s3.eu-central-1.amazonaws.com; Info:
